"Scene","Character","Cleaned_Sayings"
"Scene_23:_Nick's_Childhood","Judy Hopps","The traffic cams would have caught it!"
"Scene_23:_Nick's_Childhood","Nick Wilde","Bingo!"
"Scene_23:_Nick's_Childhood","Judy Hopps","Oh-ho, pretty sneaky, slick!"
"Scene_23:_Nick's_Childhood","Nick Wilde","Eh, however, if you didn't have access to the system before, I doubt Chief Buffalo Butt is gonna let you into it now."
"Scene_23:_Nick's_Childhood","Judy Hopps","No... But I have a friend at City Hall who might!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Uh, sir, if we could just review these very important... Sir! Oh, I'm so sorry. Sir!"
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","Okay! I heard you, Bellwether, just take care of it! Please. And clear my afternoon, I'm going out."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Oh, no, but, sir, you do have a meeting with Herds and Grazing. Sir, if I can just...! Oh, mutton chops."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Assistant Mayor Bellwether, we need your help. We just need to get into the traffic cam database."
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","So fluffy!"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Hey!"
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","Sheep never let me get this close."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","You can't just touch a sheep's wool!"
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","It's like cotton candy!"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Stop it!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Where to?"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Uh, Rainforest District. Vine and Tujunga."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","There! Traffic cams for the whole city. Well, this is so exciting, actually. I mean, well, you know, I never get to do anything this important."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","But you're the assistant mayor of Zootopia."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Oh, I'm more of a glorified secretary. I think Mayor Lionheart just wanted the sheep vote. But he did give me that nice mug!"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Oh."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Hmm. Feels good to be appreciated."
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","Smellwether!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Ah. That's a fun little name he likes to use. I called him Lionfart once. He did not care for that. Let me tell you, it was not a good day for me. Yes, sir?"
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","I thought you were going to cancel my afternoon!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Oh, dear. I better go. Let me know what you find. It was really nice for me to be-"
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","While we're young, Smellwether!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Oh."
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","You think when she goes to sleep, she counts herself?"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Oh, shush. Okay, traffic cams. Tujunga, Tujunga... We're in. Who are these guys?"
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","Ugh. Timber wolves. Look at these dum-dums. Bet ya a nickel one of them's gonna howl. And there it is. I mean, what is it with wolves and the howling? It's a..."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Howlers. Night howlers! That's what Manchas was afraid of! Wolves! The wolves are the Night howlers! If they took Manchas..."
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","I bet they took Otterton too."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","All we gotta do is find out where they went. Wait, where'd they go?"
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","You know, if I wanted to avoid surveillance because I was doing something illegal, which I never have, I would use the maintenance tunnel 6B. Which would put them out... right there."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Well, look at you, Junior Detective. You know, I think you'd actually make a pretty good cop."
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","Ugh. How dare you. Acacia Alley, Ficus Underpass, South Canyon."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Mm-hmm, they're heading out of town. Where does that road go?"
"Scene_25:_Cliffside_Asylum","Larry","Gary, quit it, you're gonna start a howl!"
"Scene_25:_Cliffside_Asylum","Gary","I didn't start it!"
"Scene_25:_Cliffside_Asylum","Judy Hopps","Come on!"
"Scene_25:_Cliffside_Asylum","Nick Wilde","You are a clever bunny."
"Scene_25:_Cliffside_Asylum","Judy Hopps","It looks like this was a hospital."
"Scene_25:_Cliffside_Asylum","Nick Wilde","You know, after you. You're the cop. Okay, all clear."
"Scene_25:_Cliffside_Asylum","Judy Hopps","All this equipment is brand new."
"Scene_25:_Cliffside_Asylum","Nick Wilde","Carrots..."
"Scene_25:_Cliffside_Asylum","Judy Hopps","Claw marks."
"Scene_25:_Cliffside_Asylum","Nick Wilde","Yeah, huge, huge claw marks. I mean, what kind of animal-"
"Scene_25:_Cliffside_Asylum","Judy Hopps","Mr. Manchas. It's him! We found our otter. Mr. Otterton, my name is Officer Judy Hopps. Your wife sent me to find you. We're gonna get you out of here now."
"Scene_25:_Cliffside_Asylum","Nick Wilde","Or not. Guess he's in no rush to get home to the missus."
"Scene_25:_Cliffside_Asylum","Judy Hopps","Eleven, twelve, thirteen, fourteen... Not including Manchas, it's... It's fourteen. Chief Bogo handed out fourteen missing mammal files. They're all here. All the missing mammals are right here."
"Scene_25:_Cliffside_Asylum","Leodore Lionheart","Enough! I don't want excuses, Doctor, I want answers."
"Scene_25:_Cliffside_Asylum","Dr. Madge Honey Badger","Mayor Lionheart, please. We're doing everything we can."
"Scene_25:_Cliffside_Asylum","Leodore Lionheart","Really? 'Cause I've got a dozen and a half animals here who've gone off the rails crazy, and you can't tell me why! Now I'd call that awfully far from ""doing everything""!"
"Scene_25:_Cliffside_Asylum","Dr. Madge Honey Badger","Sir, it may be time to consider their biology."
"Scene_25:_Cliffside_Asylum","Leodore Lionheart","What? What do you mean ""biology""?"
"Scene_25:_Cliffside_Asylum","Dr. Madge Honey Badger","The only animals going savage are predators. We cannot keep it a secret; we need to come forward!"
"Scene_25:_Cliffside_Asylum","Leodore Lionheart","Hmm, great idea. Tell the public. And how do you think they're gonna feel about their mayor... WHO IS A LION?! I'll be ruined!"
"Scene_25:_Cliffside_Asylum","Dr. Madge Honey Badger","Well, what does Chief Bogo say?"
"Scene_25:_Cliffside_Asylum","Leodore Lionheart","Chief Bogo doesn't know. And we are going to keep it that way."
"Scene_25:_Cliffside_Asylum","Judy Hopps","No, no, no!"
"Scene_25:_Cliffside_Asylum","Leodore Lionheart","Someone's here!"
"Scene_25:_Cliffside_Asylum","Dr. Madge Honey Badger","Sir, you need to go. Now! Security, sweep the area!"
"Scene_25:_Cliffside_Asylum","Nick Wilde","Great! We're dead! We're dead, that's it. I'm dead, you're dead, everybody's dead!"
"Scene_25:_Cliffside_Asylum","Judy Hopps","Can you swim?"
"Scene_25:_Cliffside_Asylum","Nick Wilde","What? Can I swim? Yes, I can swim. Why?"
"Scene_25:_Cliffside_Asylum","Nick Wilde","Carrots! Hopps? Judy!"
"Scene_25:_Cliffside_Asylum","Judy Hopps","We gotta tell Bogo!"
"Scene_26:_Dancing_with_Gazelle","Gazelle App","Wow, you are one hot dancer, Chief Bogo."
"Scene_26:_Dancing_with_Gazelle","Benjamin Clawhauser","Chief Bogo!"
"Scene_26:_Dancing_with_Gazelle","Chief Bogo","Not now!"
"Scene_26:_Dancing_with_Gazelle","Benjamin Clawhauser","Wait, is that Gazelle?"
"Scene_26:_Dancing_with_Gazelle","Chief Bogo","No!"
"Scene_26:_Dancing_with_Gazelle","Gazelle App","I'm Gazelle, and you are one hot dancer."
"Scene_26:_Dancing_with_Gazelle","Benjamin Clawhauser","You have the app too? Aww, Chieeeeeef!"
"Scene_26:_Dancing_with_Gazelle","Chief Bogo","Clawhauser! Can't you see I'm working on the missing mammal cases?!"
"Scene_26:_Dancing_with_Gazelle","Benjamin Clawhauser","Oh, oh, oh, yes, of course, about that, sir... Officer Hopps just called - she found all of them!"
"Scene_26:_Dancing_with_Gazelle","Gazelle App","Wow, I'm impressed!"
"Scene_27:_The_Arrest","Judy Hopps","Mayor Lionheart, you have the right to remain silent. Anything-"
"Scene_27:_The_Arrest","Leodore Lionheart","You don't understand! I was trying to protect the city!"
"Scene_27:_The_Arrest","Judy Hopps","You were just trying to protect your job."
"Scene_27:_The_Arrest","Leodore Lionheart","No! Listen, we still don't know why this is happening. It could destroy Zootopia!"
"Scene_27:_The_Arrest","Judy Hopps","You have the right to remain silent. Anything you say can and will be used against you..."
"Scene_28:_Judy's_Interview","Chief Bogo","Ladies and gentle-mammals, fourteen mammals went missing, and all fourteen have been found by our newest recruit, who will speak to you in a moment."
"Scene_28:_Judy's_Interview","Judy Hopps","Ohh, I'm so nervous."
"Scene_28:_Judy's_Interview","Nick Wilde","Okay. Press conference 101. You wanna look smart, answer their question with your own question and then answer that question. Like this: ""Excuse me, Officer Hopps, uh, what can you tell us about the case?"" ""Well, was this a tough case? Yes, yes, it was."" You see?"
"Scene_28:_Judy's_Interview","Judy Hopps","You should be up there with me. We did this together."
"Scene_28:_Judy's_Interview","Nick Wilde","Well, am I a cop? No. No, I am not."
"Scene_28:_Judy's_Interview","Judy Hopps","Hm. Funny you should say that. Because, well, I've been thinking... it would be nice to have a partner. Here, in case you need something to write with."
"Scene_28:_Judy's_Interview","Dawn Bellwether","Officer Hopps! It's time."
"Scene_28:_Judy's_Interview","Chief Bogo","They appear to be in good health, physically, if not emotionally. So now, I'll turn things over to the officer who cracked the case, Officer Judy Hopps."
"Scene_28:_Judy's_Interview","Judy Hopps","Uh, yes?"
"Scene_28:_Judy's_Interview","Action Gnus 5 beaver","What can you tell us about the animals going savage?"
"Scene_28:_Judy's_Interview","Judy Hopps","Well, the... the animals in question... Are they all different species? Yes, yes they are."
"Scene_28:_Judy's_Interview","Female offscreen reporter 1","Okay, so what is the connection?"
"Scene_28:_Judy's_Interview","Judy Hopps","Oh, all we know is that they are all members of the predator family."
"Scene_28:_Judy's_Interview","Doug","So, predators are the only ones going savage?"
"Scene_28:_Judy's_Interview","Judy Hopps","That is accu-- Yes, that is accurate, yes."
"Scene_28:_Judy's_Interview","Pig reporter","Why? Why is this happening?"
"Scene_28:_Judy's_Interview","Judy Hopps","We still don't know. But it may have something to do with biology."
"Scene_28:_Judy's_Interview","Male offscreen reporter 1","What do you mean by that?"
"Scene_28:_Judy's_Interview","Judy Hopps","A biological component. You know, something in their DNA."
"Scene_28:_Judy's_Interview","Oryx reporter","In their DNA, can you elaborate on that, please?"
"Scene_28:_Judy's_Interview","Judy Hopps","Yes. What I mean is, thousands of years ago, uh, predators survived through their... aggressive hunting instincts. For whatever reason, they seem to be reverting back to their primitive, savage ways."
"Scene_28:_Judy's_Interview","Junior Scout 3","Aw, is he gonna cry?"
"Scene_28:_Judy's_Interview","Beaver reporter 2","Officer Hopps, could it happen again?"
"Scene_28:_Judy's_Interview","Judy Hopps","It is possible, so we must be vigilant, and we at the ZPD are prepared and are here to protect you."
"Scene_28:_Judy's_Interview","Female offscreen reporter 2","Will more mammals go savage?"
"Scene_28:_Judy's_Interview","Male offscreen reporter 3","What is being done to protect us?"
"Scene_28:_Judy's_Interview","Female offscreen reporter 3","Have you considered a mandatory quarantine on predators?"
"Scene_28:_Judy's_Interview","Dawn Bellwether","Okay, thank you, Officer Hopps. Uh, that's all the time we have. No more questions."
"Scene_28:_Judy's_Interview","Judy Hopps","Was I okay?"
"Scene_28:_Judy's_Interview","Dawn Bellwether","Oh, you did fine!"
"Scene_28:_Judy's_Interview","Judy Hopps","Oh, that went so fast. I didn't get a chance to mention you or say anything about how we-"
"Scene_28:_Judy's_Interview","Nick Wilde","Oh, I think you said plenty."
"Scene_28:_Judy's_Interview","Judy Hopps","What do you mean?"
"Scene_28:_Judy's_Interview","Nick Wilde","""Clearly there's a biological component""? ""These predators may be... reverting back to their primitive, savage ways""? Are you serious?"
"Scene_28:_Judy's_Interview","Judy Hopps","I just stated the facts of the case. I mean, it's not like a bunny could go savage."
"Scene_28:_Judy's_Interview","Nick Wilde","Right. But a fox could, huh?"
"Scene_28:_Judy's_Interview","Judy Hopps","Nick, stop it! You're not like them."
"Scene_28:_Judy's_Interview","Nick Wilde","Oh, there's a them now?!"
"Scene_28:_Judy's_Interview","Judy Hopps","Ugh. You know what I mean. You're not that kind of predator."
"Scene_28:_Judy's_Interview","Nick Wilde","The kind that needs to be muzzled? The kind that makes you think you need to carry around fox repellent? Yeah, don't think I didn't notice that little item the first time we met. So, l-let me ask you a question: Are you afraid of me? Do you think I might go nuts? Do you think I might go ""savage""? Do you think I might try to... EAT YOU?! I knew it. Just when I thought somebody actually believed in me, huh? Probably best if you don't have a predator as a partner."
"Scene_28:_Judy's_Interview","Judy Hopps","No, Nick! Nick!"
"Scene_28:_Judy's_Interview","Beaver reporter 2","Officer Hopps, were you just threatened by that predator?"
"Scene_28:_Judy's_Interview","Judy Hopps","No, he's my friend."
"Scene_28:_Judy's_Interview","Rabbit reporter","We can't even trust our own friends?!"
"Scene_28:_Judy's_Interview","Judy Hopps","That is not what I said. Please-"
"Scene_28:_Judy's_Interview","Beaver reporter 2","Are we safe?"
"Scene_28:_Judy's_Interview","Rabbit Reporter","Have any other foxes gone savage?"
"Scene_29:_ZNN","Fabienne Growley","More bad news in this city gripped by fear. A caribou is in critical condition, the victim of a mauling by a savage polar bear. This, the 27th such attack, comes just one week after ZPD officer Judy Hopps connected the violence to traditionally predatory animals."
"Scene_29:_ZNN","Peter Moosebridge","Meanwhile, a peace rally organized by pop star Gazelle was marred by protest."
"Scene_29:_ZNN","Frantic Pig","Go back to the forest, predator!"
"Scene_29:_ZNN","Female Leopard","I'm from the savannah!"
"Scene_29:_ZNN","Gazelle","Zootopia is a unique place. It's a crazy, beautiful diverse city where we celebrate our differences. This is not the Zootopia I know. The Zootopia I know is better than this. We don't just blindly assign blame. We don't know why these attacks keep happening, but it is irresponsible to label all predators as savages."
"Scene_29:_ZNN","Mrs. Otterton","That's not my Emmitt."
"Scene_29:_ZNN","Gazelle","We cannot let fear divide us. Please, give me back the Zootopia I love."
"Scene_30:_Moving_to_Records","Chief Bogo","Come on, Hopps. The new mayor wants to see us."
"Scene_30:_Moving_to_Records","Judy Hopps","The mayor? Why?"
"Scene_30:_Moving_to_Records","Chief Bogo","It would seem you've arrived."
"Scene_30:_Moving_to_Records","Judy Hopps","Clawhauser? What are you doing?"
"Scene_30:_Moving_to_Records","Benjamin Clawhauser","Um... They thought it would be better if a predator, such as myself, wasn't the first face that you see when you walk into the ZPD."
"Scene_30:_Moving_to_Records","Judy Hopps","What?"
"Scene_30:_Moving_to_Records","Benjamin Clawhauser","They're gonna move me to records. It's downstairs. It's by the boiler."
"Scene_30:_Moving_to_Records","Chief Bogo","Hopps!"
"Scene_31:_The_Public_Face_of_the_ZPD","Judy Hopps","I don't understand."
"Scene_31:_The_Public_Face_of_the_ZPD","Dawn Bellwether","Our city is 90% prey, Judy, and right now, they're just really scared. You're a hero to them. They trust you. And so that's why Chief Bogo and I want you to be the public face of the ZPD."
"Scene_31:_The_Public_Face_of_the_ZPD","Judy Hopps","I'm not... I'm not a hero. I came here to make the world a better place, but I think I broke it."
"Scene_31:_The_Public_Face_of_the_ZPD","Chief Bogo","Don't give yourself so much credit, Hopps. The world has always been broken, that's why we need good cops. Like you."
"Scene_31:_The_Public_Face_of_the_ZPD","Judy Hopps","With all due respect, sir, a good cop is supposed to serve and protect, help the city, not tear it apart. I don't deserve this badge."
"Scene_31:_The_Public_Face_of_the_ZPD","Chief Bogo","Hopps?"
"Scene_31:_The_Public_Face_of_the_ZPD","Dawn Bellwether","Judy, you've worked so hard to get here. It's what you wanted since you were a kid. You can't quit."
"Scene_31:_The_Public_Face_of_the_ZPD","Judy Hopps","Thank you for the opportunity."
"Scene_32:_Judy's_Epiphany","Judy Hopps","A dozen carrots. Have a nice day."
"Scene_32:_Judy's_Epiphany","Mother rabbit","Thanks. Come on."
"Scene_32:_Judy's_Epiphany","Stu Hopps","Hey there, Jude... Jude the Dude. Remember that one? How're we doing?"
"Scene_32:_Judy's_Epiphany","Judy Hopps","I'm fine."
"Scene_32:_Judy's_Epiphany","Bonnie Hopps","You are not fine, your ears are droopy."
"Scene_32:_Judy's_Epiphany","Judy Hopps","Why did I think I could make a difference?"
"Scene_32:_Judy's_Epiphany","Stu Hopps","Because you're a trier, that's why."
"Scene_32:_Judy's_Epiphany","Bonnie Hopps","You've always been a trier."
"Scene_32:_Judy's_Epiphany","Judy Hopps","Oh, I tried. And I made life so much worse for so many innocent predators."
"Scene_32:_Judy's_Epiphany","Stu Hopps","Oh! Not all of them, though. Speak of the devil, Right on time."
"Scene_32:_Judy's_Epiphany","Judy Hopps","Is that... Gideon Grey?"
"Scene_32:_Judy's_Epiphany","Stu Hopps","Yep! Sure it is. We work with him now."
"Scene_32:_Judy's_Epiphany","Bonnie Hopps","He's our partner, and we never would have considered it had you not opened our minds."
"Scene_32:_Judy's_Epiphany","Stu Hopps","That's right, I mean Gid's turned into one of the top pastry chefs in the Tri-Burrows."
"Scene_32:_Judy's_Epiphany","Judy Hopps","That's... That's really cool, you guys. Gideon Grey. I'll be darned."
"Scene_32:_Judy's_Epiphany","Gideon Grey","Hey, Judy. I'd just like to say, I'm sorry for the way I behaved in my youth. I-I-I had a lot of self-doubt and it manifested itself in the form of unchecked rage and aggression. I was a major jerk."
"Scene_32:_Judy's_Epiphany","Judy Hopps","Well, I know a thing or two about being a jerk."
"Scene_32:_Judy's_Epiphany","Gideon Grey","Anyhow, I-I brought y'all these pies."
"Scene_32:_Judy's_Epiphany","Stu Hopps","Hey, kids! Don't you run through that Midnicampum holicithius!"
"Scene_32:_Judy's_Epiphany","Bunny child 1","Whoa, whoa, whoa!"
"Scene_32:_Judy's_Epiphany","Gideon Grey","Well, now there's a four-dollar word, Mr. H, my family always just called them Night howlers."
"Scene_32:_Judy's_Epiphany","Judy Hopps","I'm sorry, what did you say?"
"Scene_32:_Judy's_Epiphany","Stu Hopps","Oh, Gid's talking about those flowers, Judy. I use 'em to keep the bugs off the produce, but I don't like the little ones going near 'em on account of what happened to your Uncle Terry."
"Scene_32:_Judy's_Epiphany","Bonnie Hopps","Yeah, Terry ate one whole when we were kids and went completely nuts."
"Scene_32:_Judy's_Epiphany","Stu Hopps","He bit the dickens out of your mother."
"Scene_32:_Judy's_Epiphany","Judy Hopps","A bunny can go savage."
"Scene_32:_Judy's_Epiphany","Bonnie Hopps","Savage? Well, that's a strong word, but it did hurt like the devil."
"Scene_32:_Judy's_Epiphany","Stu Hopps","Well, sure it did. There's a sizable divot in your arm. I'd call that savage!"
"Scene_32:_Judy's_Epiphany","Judy Hopps","Night howlers aren't wolves, they're flowers. The flowers are making the predators go savage. That's it! That's what I've been missing! Oh, keys, keys, keys, keys, hurry, come on! Thank you! I love you, bye!"
"Scene_32:_Judy's_Epiphany","Stu Hopps","You catch any of that, Bon?"
"Scene_32:_Judy's_Epiphany","Bonnie Hopps","Not one bit."
"Scene_32:_Judy's_Epiphany","Gideon Grey","Well, that makes me feel a little bit better, I thought she was talking in tongues or something."
"Scene_33:_Judy_and_Nick_Reconcile","Finnick","Who is it?!"
"Scene_33:_Judy_and_Nick_Reconcile","Judy Hopps","I need to find Nick. Please. Nick? Nick? Oh, Nick! Night howlers aren't wolves, they're toxic flowers! I think someone is targeting predators on purpose and making them go savage."
"Scene_33:_Judy_and_Nick_Reconcile","Nick Wilde","Wow. Isn't that interesting?"
"Scene_33:_Judy_and_Nick_Reconcile","Judy Hopps","Wait! Uh, wait, listen! I-I know you'll never forgive me, and I don't blame you - I wouldn't forgive me either. I was ignorant, and irresponsible, and small-minded. But predators shouldn't suffer because of my mistakes. I have to fix this. But I can't do it without you. And... And after we're done, you can hate me, and... and that'll be fine, because I was a horrible friend, and I hurt you, and you... and you can walk away, knowing that you were right all along - I really am just a dumb bunny."
"Scene_33:_Judy_and_Nick_Reconcile","Judy Hopps' voice","I really am just a dumb bunny. I really am just a dumb bunny."
"Scene_33:_Judy_and_Nick_Reconcile","Nick Wilde","Don't worry, Carrots. I'll let you erase it... in 48 hours. All right, get in here. Okay, oh, you bunnies, you're so emotional. There we go, deep breath. Are you- are you just trying to steal the pen? Is that what this is? You are standing on my tail, though. Off, off-off-off."
"Scene_33:_Judy_and_Nick_Reconcile","Judy Hopps","Oh, I'm sorry."
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Nick Wilde","Ooh, I thought you guys only grew carrots! Mm! What's your plan?"
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Judy Hopps","We are gonna follow the Night howlers."
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Nick Wilde","Okay. How?"
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Judy Hopps","Know this guy?"
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Nick Wilde","Uh-huh. I told you, I know everybody!"
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Duke Weaselton","Ha-ha! Well, hello! Step right up. Anything you need, I got it. All your favorite movies! I've got movies that haven't even been released yet! Hey, 15% off. 20! Make me an offer! Come on!"
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Nick Wilde","Well, well. Look who it is, the Duke of Bootleg."
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Duke Weaselton","What's it to you, Wilde? Shouldn't you be melting down a pawpsicle or something? Hey, if it isn't Flopsy the Copsy."
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Judy Hopps","We both know those weren't moldy onions I caught you stealing. What were you gonna do with those Night howlers, Weselton?"
"Scene_34:_Judy_and_Nick_Question_Duke_Weaselton","Duke Weaselton","It's Weaselton! Duke Weaselton! And I ain't talking, Rabbit. And there ain't nothing you can do to make me."
"Scene_35:_Duke_Spills_the_Beans","Mr. Big","Ice him!"
"Scene_35:_Duke_Spills_the_Beans","Duke Weaselton","You dirty rat! Why are you helping her? She's a cop!"
"Scene_35:_Duke_Spills_the_Beans","Mr. Big","And the godmother to my future granddaughter."
"Scene_35:_Duke_Spills_the_Beans","Fru Fru","I'm gonna name her Judy!"
"Scene_35:_Duke_Spills_the_Beans","Judy Hopps","Aww!"
"Scene_35:_Duke_Spills_the_Beans","Mr. Big","Ice this weasel."
"Scene_35:_Duke_Spills_the_Beans","Duke Weaselton","Ahh! All right, all right, please! I'll talk! I'll talk! I stole them Night howlers so I could sell 'em. They offered me what I couldn't refuse - money."
"Scene_35:_Duke_Spills_the_Beans","Judy Hopps","And to whom did you sell them?"
"Scene_35:_Duke_Spills_the_Beans","Duke Weaselton","A ram named Doug. We got a drop spot underground. Just watch it; Doug is the opposite of friendly. He's unfriendly."
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Come on."
"Scene_36:_The_Train_Car_Chase","Judy Hopps","The weasel wasn't lying."
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Yeah, it looks like ol' Doug's cornered the market on Night howlers."
"Scene_36:_The_Train_Car_Chase","Doug","You got Doug here. What's the mark? Cheetah in Sahara Square, got it. You serious? Yeah, I know they're fast, I can hit 'em. Listen, I hit a tiny little otter through the open window of a moving car."
"Scene_36:_The_Train_Car_Chase","Doug:","Doug: Yeah, I'll buzz you when it's done. Or you'll see it on the news, you know, whichever comes first."
"Scene_36:_The_Train_Car_Chase","Woolter","Hey, Doug, open up! We've got your latte!"
"Scene_36:_The_Train_Car_Chase","Doug","Alright, Woolter and Jesse are back so I'm leaving now. Out."
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Where are you going? Where are you going? Get back here! What are you doing, he's gonna see you! What are you looking at?! Hey! Whatever you're thinking, stop thinking it! Carrots! Carrots!"
"Scene_36:_The_Train_Car_Chase","Doug","Better have the extra foam this time-"
"Scene_36:_The_Train_Car_Chase","Woolter","Hey! Open up!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","What are you doing?! You just trapped us in here!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","We need to get this evidence to the ZPD!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Okay, great, here it is. Got it."
"Scene_36:_The_Train_Car_Chase","Judy Hopps","No. All of it!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Wait, what? Great, you're a conductor now, huh? Hey, listen, it would take a miracle to get this rust bucket going. Well, hallelujah!"
"Scene_36:_The_Train_Car_Chase","Jesse","We kinda got a situation at the lab... Oh! It just got worse!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Mission accomplished. Would it be premature for me to do a little victory toot-toot?"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","All right. One toot-toot."
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Well, I can cross that off the bucket list."
"Scene_36:_The_Train_Car_Chase","Nick Wilde:","Nick Wilde: I may have to rescind that victory toot-toot. Maybe that's just hail?"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Back off!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Incoming!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Carrots!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Don't stop, keep going!"
"Scene_36:_The_Train_Car_Chase","Jesse","No! No! Please stop!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Do not stop this car!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Speed up, Nick, speed up!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","There's another train coming!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Trust me. Speed up!"
"Scene_36:_The_Train_Car_Chase","Woolter","Stop the train!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Hey! Need some help?"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Oh no, oh no, no, no, too fast! Too fast, hold on!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","I think this is our stop!"
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Okay, maybe... Maybe some of the evidence survived."
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Everything is gone. We've lost it all..."
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Yeah. Oh, except for this."
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Ooh, Nick! Yes!"
"Scene_36:_The_Train_Car_Chase","Nick Wilde","Ow..."
"Scene_36:_The_Train_Car_Chase","Judy Hopps","Come on! We gotta get to the ZPD. Cut through the Natural History Museum!"
"Scene_37:_The_True_Villain","Judy Hopps","Look, there it is!"
"Scene_37:_The_True_Villain","Dawn Bellwether","Judy! Judy!"
"Scene_37:_The_True_Villain","Judy Hopps","Mayor Bellwether! We found out what's happening. Someone's darting predators with a serum. That's what's making them go savage!"
"Scene_37:_The_True_Villain","Dawn Bellwether","I'm so proud of you, Judy. You did just a super job."
"Scene_37:_The_True_Villain","Judy Hopps","Thank you, ma'am! ...How did you know where to find us?"
"Scene_37:_The_True_Villain","Dawn Bellwether","I'll go ahead and take that case, now."
"Scene_37:_The_True_Villain","Judy Hopps","Uh, you know what, I think Nick and I will just take this to the ZPD."
"Scene_37:_The_True_Villain","Judy Hopps","Judy Hopps & Nick Wilde: Run!"
"Scene_37:_The_True_Villain","Dawn Bellwether","Get them!"
"Scene_37:_The_True_Villain","Nick Wilde","Carrots! I got you. Come here. Okay, just relax. Whoops! Blueberry?"
"Scene_37:_The_True_Villain","Judy Hopps","Pass."
"Scene_37:_The_True_Villain","Dawn Bellwether","Come on out, Judy."
"Scene_37:_The_True_Villain","Judy Hopps","Take the case. Get it to Bogo."
